x,y,chainage_m,dist_m,dh_m,reliability
338573,3125421,28942,422,-11.17,21
338653,3125421,28797,352,-0.91,38
338733,3125421,28797,277,0.01,42
338813,3125421,28797,205,-0.18,21
339213,3125421,28458,74,0.26,26
339293,3125421,28458,97,-0.20,49
340093,3125421,27973,712,0.36,23
342013,3125421,27973,2522,0.54,63
342413,3125421,26016,2860,0.03,31
342573,3125421,26016,2981,0.68,42
342813,3125421,26016,3169,0.43,62
342893,3125421,26016,3234,0.46,19
342973,3125421,26016,3299,0.18,25
343053,3125421,26016,3365,0.57,75
343133,3125421,26016,3431,0.42,31
343773,3125421,25399,3961,0.37,66
343933,3125421,25399,4090,0.74,46
332493,3125341,29099,6351,-0.67,46
332653,3125341,29099,6191,-0.53,74
332893,3125341,29099,5951,-0.63,66
334733,3125341,29099,4114,-0.73,23
335213,3125341,29099,3635,-0.35,71
335293,3125341,29099,3555,-0.27,34
335373,3125341,29099,3475,-0.44,34
335453,3125341,29099,3396,-0.33,36
335533,3125341,29099,3316,-18.84,31
335773,3125341,29099,3077,-0.61,43
336093,3125341,29099,2758,6.86,21
336253,3125341,29099,2599,-0.46,79
336573,3125341,29099,2281,-0.52,42
336733,3125341,29099,2122,-0.03,29
336813,3125341,29099,2043,-0.31,66
336893,3125341,29099,1963,-0.14,51
336973,3125341,29099,1884,0.02,34
337053,3125341,29099,1805,-0.14,20
337373,3125341,29099,1489,0.11,14
337613,3125341,29099,1254,-0.23,51
337693,3125341,29099,1176,-20.81,24
337773,3125341,29099,1098,58.98,14
337853,3125341,29099,1021,-0.44,31
338173,3125341,29099,717,-0.33,34
338893,3125341,28797,99,18.54,46
338973,3125341,28797,31,-0.24,39
339053,3125341,28627,64,-0.10,54
339133,3125341,28627,41,-0.08,64
339373,3125341,28458,210,0.29,28
339933,3125341,28131,632,-0.14,42
340253,3125341,27973,888,-0.37,18
341773,3125341,27973,2303,-3.11,32
341853,3125341,27973,2381,0.25,20
341933,3125341,27973,2459,0.56,60
342013,3125341,27973,2537,0.44,17
342413,3125341,26016,2913,0.29,43
342493,3125341,26016,2973,0.24,29
342573,3125341,26016,3033,0.10,44
342813,3125341,26016,3218,0.69,48
342973,3125341,26016,3346,0.33,28
343053,3125341,26016,3410,0.48,44
343133,3125341,26016,3476,21.17,15
343693,3125341,25399,3947,-25.69,31
343853,3125341,25399,4074,0.37,19
343933,3125341,25399,4138,0.72,42
344253,3125341,25399,4399,0.93,27
332413,3125261,29099,6428,-0.88,48
332573,3125261,29099,6268,-0.51,62
332813,3125261,29099,6028,-0.51,68
332893,3125261,29099,5948,-0.88,78
333053,3125261,29099,5788,-0.50,70
333133,3125261,29099,5708,-0.64,58
333213,3125261,29099,5628,-0.47,54
334493,3125261,29099,4349,-0.50,68
334573,3125261,29099,4269,-0.52,36
334893,3125261,29099,3950,-0.56,48
335213,3125261,29099,3630,-0.52,77
335373,3125261,29099,3470,-0.72,36
335533,3125261,29099,3310,-0.09,35
335693,3125261,29099,3151,-0.19,47
335773,3125261,29099,3071,-0.67,35
336093,3125261,29099,2752,-0.52,16
336253,3125261,29099,2592,-0.21,73
336573,3125261,29099,2273,-0.29,49
337133,3125261,29099,1715,0.29,36
337213,3125261,29099,1636,0.04,44
337293,3125261,29099,1556,-0.36,57
337373,3125261,29099,1477,0.10,45
337613,3125261,29099,1239,-0.21,21
337773,3125261,29099,1081,-0.08,67
337933,3125261,29099,924,-0.26,69
338573,3125261,29099,325,-0.44,15
338733,3125261,28942,206,-31.62,31
338813,3125261,28942,133,0.03,56
339133,3125261,28627,115,11.29,14
340173,3125261,28131,874,0.33,21
341933,3125261,27973,2477,0.83,20
342013,3125261,27973,2555,0.29,25
342813,3125261,26016,3268,0.65,69
343053,3125261,26016,3458,0.37,61
343613,3125261,26016,3921,6.87,29
343693,3125261,26016,3989,0.38,29
343773,3125261,26016,4058,0.37,72
343853,3125261,25399,4122,0.74,62
344013,3125261,25399,4249,1.01,26
332413,3125181,29099,6426,-0.85,43
332493,3125181,29099,6346,-0.85,64
332813,3125181,29099,6026,-0.50,56
332973,3125181,29099,5866,-4.27,23
333053,3125181,29099,5786,-0.76,45
333133,3125181,29099,5706,-0.44,40
333293,3125181,29099,5546,-0.42,62
333373,3125181,29099,5466,-2.07,21
334253,3125181,29099,4586,-0.47,21
334333,3125181,29099,4506,-0.56,22
334413,3125181,29099,4426,-0.63,55
334573,3125181,29099,4266,-28.24,19
334653,3125181,29099,4186,-17.83,33
334733,3125181,29099,4107,-0.11,53
334813,3125181,29099,4027,-41.83,21
334893,3125181,29099,3947,9.88,25
334973,3125181,29099,3867,-0.38,31
335053,3125181,29099,3787,-9.19,27
335133,3125181,29099,3707,-0.95,40
335213,3125181,29099,3627,-22.08,23
335293,3125181,29099,3547,-0.72,35
335373,3125181,29099,3467,-1.91,57
335533,3125181,29099,3307,1.99,31
335613,3125181,29099,3227,-5.82,39
336253,3125181,29099,2587,-11.37,49
336333,3125181,29099,2507,-0.28,52
336493,3125181,29099,2348,-0.59,51
336973,3125181,29099,1868,-0.01,62
337053,3125181,29099,1788,3.32,34
337133,3125181,29099,1708,-0.17,55
337613,3125181,29099,1230,-0.56,27
337773,3125181,29099,1071,-0.39,58
337933,3125181,29099,911,0.09,57
338013,3125181,29099,832,-5.68,59
338573,3125181,29099,286,0.25,18
339373,3125181,28627,328,31.35,13
339453,3125181,28458,385,24.05,31
340333,3125181,27973,1049,-0.12,57
341853,3125181,27973,2420,0.14,23
342013,3125181,27973,2574,0.45,50
342093,3125181,27973,2652,0.18,34
342253,3125181,27973,2807,0.66,28
342733,3125181,26016,3258,0.22,52
342813,3125181,26016,3319,0.62,59
342893,3125181,26016,3381,0.68,49
343693,3125181,26016,4031,0.37,22
343773,3125181,26016,4099,0.63,22
343853,3125181,26016,4168,4.83,23
343933,3125181,25399,4235,0.35,14
332733,3125101,29099,6105,-0.90,52
333053,3125101,29099,5785,-0.93,56
333213,3125101,29099,5625,40.47,30
334013,3125101,29099,4825,-0.77,59
334333,3125101,29099,4505,-0.40,59
334493,3125101,29099,4345,-0.47,58
334573,3125101,29099,4265,-8.06,16
334893,3125101,29099,3945,-0.73,33
334973,3125101,29099,3865,-0.39,70
335053,3125101,29099,3785,-0.76,37
335133,3125101,29099,3705,-0.64,49
335373,3125101,29099,3465,-0.61,55
335453,3125101,29099,3385,-0.73,20
336253,3125101,29099,2585,13.74,21
336413,3125101,29099,2425,-8.90,29
336493,3125101,29099,2345,-0.48,15
336573,3125101,29099,2265,-0.04,44
336893,3125101,29099,1945,-27.23,33
