chainage_m,x_utm45,y_utm45,lon,lat,elev_m
4157,353597.8,3131283.6,85.50695,28.29949,3617.1
4200,353627.8,3131253.6,85.50726,28.29922,3618.7
4242,353597.8,3131223.6,85.50695,28.29895,3618.1
4272,353597.8,3131193.6,85.50696,28.29868,3623.1
4315,353627.8,3131163.6,85.50727,28.29841,3618.4
4357,353657.8,3131193.6,85.50757,28.29868,3618.2
4400,353687.8,3131163.6,85.50788,28.29842,3623.2
4430,353687.8,3131133.6,85.50788,28.29815,3618.3
4472,353717.8,3131103.6,85.50819,28.29788,3624.9
4502,353717.8,3131133.6,85.50819,28.29815,3628.5
4544,353747.8,3131103.6,85.50850,28.29788,3635.3
4574,353747.8,3131073.6,85.50850,28.29761,3630.9
4617,353717.8,3131043.6,85.50820,28.29734,3635.0
4659,353687.8,3131073.6,85.50789,28.29761,3630.9
4702,353657.8,3131103.6,85.50758,28.29787,3625.5
4744,353627.8,3131133.6,85.50727,28.29814,3623.4
4787,353597.8,3131163.6,85.50696,28.29841,3626.9
4829,353567.8,3131193.6,85.50665,28.29867,3630.3
4859,353567.8,3131223.6,85.50665,28.29895,3628.1
4889,353567.8,3131253.6,85.50664,28.29922,3625.6
4919,353567.8,3131283.6,85.50664,28.29949,3624.2
4961,353597.8,3131313.6,85.50694,28.29976,3622.1
5004,353567.8,3131343.6,85.50663,28.30003,3619.1
5046,353537.8,3131373.6,85.50632,28.30030,3613.6
5089,353507.8,3131403.6,85.50601,28.30056,3607.5
5131,353477.8,3131433.6,85.50570,28.30083,3602.4
5174,353447.8,3131463.6,85.50539,28.30110,3592.7
5216,353417.8,3131493.6,85.50508,28.30137,3588.1
5258,353387.8,3131523.6,85.50477,28.30163,3585.2
5288,353387.8,3131553.6,85.50477,28.30190,3584.0
5331,353357.8,3131583.6,85.50446,28.30217,3577.8
5373,353327.8,3131613.6,85.50415,28.30244,3558.8
5416,353297.8,3131643.6,85.50384,28.30271,3549.6
5458,353267.8,3131673.6,85.50353,28.30297,3545.2
5501,353237.8,3131703.6,85.50322,28.30324,3539.8
5531,353237.8,3131733.6,85.50322,28.30351,3532.1
5561,353237.8,3131763.6,85.50321,28.30378,3525.8
5603,353207.8,3131793.6,85.50291,28.30405,3519.2
5645,353177.8,3131823.6,85.50260,28.30432,3513.7
5675,353177.8,3131853.6,85.50259,28.30459,3507.9
5718,353147.8,3131883.6,85.50228,28.30485,3503.0
5748,353147.8,3131913.6,85.50228,28.30513,3499.0
5790,353117.8,3131943.6,85.50197,28.30539,3495.7
5833,353087.8,3131973.6,85.50166,28.30566,3490.2
5875,353057.8,3132003.6,85.50135,28.30593,3488.7
5917,353027.8,3132033.6,85.50104,28.30619,3486.7
5960,352997.8,3132063.6,85.50073,28.30646,3485.2
5990,352997.8,3132093.6,85.50073,28.30673,3483.8
6032,352967.8,3132123.6,85.50042,28.30700,3482.3
6075,352937.8,3132153.6,85.50011,28.30727,3481.1
6105,352937.8,3132183.6,85.50010,28.30754,3480.4
6147,352907.8,3132213.6,85.49979,28.30781,3478.9
6190,352877.8,3132243.6,85.49948,28.30807,3475.0
6232,352847.8,3132273.6,85.49917,28.30834,3471.7
